Vessel_Name,MMSI_List,Destination_List
CRC GANNET,[232048624],['OREAT VARMOUTH']
FOUR TURANDOT,[248506000],['GBGIB']
RNLI LIFEBOAT 17-05,[232002440],['HUMBER']
FRENCH WARSHIP VLC,[227800300],['8']
SONGA POLARIS,[256325000],['BILBAO']
KARLA C,[255806312],['ES CEU']
SAORSA NA MARA,[235033134],['ON SURVEY']
SVITZER SKY,[235069704],['FELIXSTOWE']
EN AVANT 9,[244850515],['DORDRECHT']
LILY ANNA BF371,[235082365],['VHF CH 16 OR 73']
BELYAMATO,[258026000],['CN NSA']
HEIDE OLDENDORFF,[255805818],['NLRTM               ']
STEFANIE M,[235112317],['FISHING GROUNDS']
SAPPHIRE OF LONDON,[232051929],['']
SD NEWHAVEN,[232002836],['']
LONDON TITAN,[235103165],['GRAVESEND']
VB ZEEBRUGGE,[232025841],['CARDIFF>']
C-ODYSSEY,[235088132],['KIRKWALL']
ADRIANNE,[250001702],['CO']
JERH O'D,[250001143],['']
FEDERAL FRONTIER,[538009425],"['ANTWERP,BELGIUM']"
F/V MABRUNE,[227314180],['']
GRAMPIAN CONQUEST,[235010030],['LOWESTOFT']
RIPLEY PROSPERITY,[636021304],['DE STA']
MSC TERESA,[357891000],['GBFXT>MYPKG']
HST TENBY,[232053671],['LOWESTOFT']
MARANT,[205050000],['GBPLY > ESCAS']
TORNADO CLIPPER,[235057012],['']
LMZ TITAN           ,[538004090],['GBIMM               ']
WINDCAT 30,[235096027],['GRIMSBY-']
WILSON DIRDAL,[255915955],['GBNPT']
MARIE MAERSK,[219018765],['GB LGP > DE BRV']
TOPAZ NEVA,[538007321],['ESCAD']
NJORD PIONER,[257930000],['WESTRAY']
FRIEDRICH RUSS,[255806511],['GB LIV']
MOL PROFICIENCY,[538002961],['FRLEH']
NACC AFRICAN,[352003075],['GBELL']
PRIDE OF HULL,[311062900],['ROTT-HULL-ROTT']
WEC VERMEER,[209177000],['ESBIO']
MSC SORAYA,[370271000],['GBLGP']
ENERGY PACE,[257511000],['VALARIS STAVANGER']
SWS ESSEX,[235091146],['RAINHAM COLD HARBOUR']
FURE SKAGEN,[231875000],['GB GRG']
DIGNITY LEADER,[311002900],['BE ZEE']
SCPS ANDREA,[235117189],['']
ARKLOW VALOUR,[244020335],['ZAANDAM']
SKOMER,[235034317],['']
CONTI CHIVALRY,[636093093],['GBFXT']
SEAWAYS TYBEE,[538006312],['NOMON']
ERIKA SCHULTE,[563049000],['DUNKIRK']
MANNA,[249563000],['EG DAM']
MISJE LOTUS,[257835000],['VLISSINGEN']
